CampaignChannelID,ChannelID,CampaignName
CC00189,CHAN006,Integrated client-driven intranet
CC00190,CHAN011,Re-engineered system-worthy attitude
CC00191,CHAN016,Right-sized interactive access
CC00192,CHAN016,Vision-oriented optimizing success
CC00193,CHAN001,Reverse-engineered modular leverage
CC00194,CHAN009,Diverse secondary leverage
CC00195,CHAN006,Programmable value-added capability
CC00196,CHAN016,Grass-roots radical standardization
CC00197,CHAN003,Future-proofed disintermediate archive
CC00198,CHAN020,Mandatory 24hour frame
CC00199,CHAN004,Up-sized responsive Internet solution
CC00200,CHAN019,Ergonomic tangible throughput
